Client Name,Total Assistance,Total Investment,Investment Gain,Investment Grade,Condition,Estimated Jobs,Country,SME,Ownership,Status,Constituency,Sector,Business Plan Grade,Average Grade,Jobs Created
Feedwell Animal Foods Limited,2077,6023,3946.0,0.6551552382533621,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
Feedwell Animal Foods Limited,4000,8500,4500.0,0.5294117647058824,Developing Skills,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,False,False
Feeney Print Ltd,20000,109000,89000.0,0.8165137614678899,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING,False,True,True
Feisfayre,30000,374500,344500.0,0.9198931909212283,Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,SME,Local,Local,BELFAST WEST,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,True,True,True
Feisfayre,2618,6545,3927.0,0.6,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST WEST,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,False,True,False
Feral Fire & Architectural Glazing Ltd,9995,119500,109505.0,0.9163598326359833,Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,SME,Local,Local,UPPER BANN,MANUFACTURING,True,True,True
Feral Fire & Architectural Glazing Ltd,21024,57376,36352.0,0.6335750139431121,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,UPPER BANN,MANUFACTURING,False,True,False
Ferguson Environmental Services Limited,49000,406600,357600.0,0.8794884407279882,Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,SME,Local,Local,UPPER BANN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",True,True,True
Ferguson Environmental Services Limited,2000,4000,2000.0,0.5,Developing Skills,0,Northern Ireland,SME,Local,Local,UPPER BANN,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
Fermac Properties Limited,8000,10000,2000.0,0.19999999999999996,Covid Support,0,Northern Ireland,SME,Local,Local,FOYLE,CONSTRUCTION,False,False,False
Fernleaf Systems Limited,6000,46300,40300.0,0.8704103671706264,Other,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION,True,True,False
Fernleaf Systems Limited,10000,10000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION,False,False,False
FGM Fire,10923,21846,10923.0,0.5,Developing Skills,0,Northern Ireland,SME,Local,Local,FOYLE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,False,False,False
FGM Fire,3816,9540,5724.0,0.6,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,FOYLE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,False,True,False
Field Day Ireland,1450,2900,1450.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,STRANGFORD,MANUFACTURING,False,False,False
Field Day Ireland,46680,155600,108920.0,0.7,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,STRANGFORD,MANUFACTURING,False,True,True
Field Day Ireland,3015,6030,3015.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,STRANGFORD,MANUFACTURING,False,False,False
Field Day Ireland,15276,42090,26814.0,0.637063435495367,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,STRANGFORD,MANUFACTURING,False,True,False
Fieldfisher,630000,7216276,6586276.0,0.9126973524848551,Creating Jobs / Capital Investment / Business Development,125,Great Britain,Non SME,External,New,BELFAST EAST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",True,True,True
Fieldmotion Ltd,5880,12000,6120.0,0.51,Developing Skills,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION,False,False,False
Fieldmotion Ltd,99500,368000,268500.0,0.7296195652173914,Creating Jobs / Capital Investment / Business Development,14,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION,False,True,True
Fieldmotion Ltd,6800,17000,10200.0,0.6,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION,False,True,False
Fieldmotion Ltd,25000,25000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION,False,False,False
Fieldmotion Ltd,75000,150000,75000.0,0.5,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION,False,False,False
Fiesta Blinds & Fabrics Limited,1966,4914,2948.0,0.5999185999185999,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,FOYLE,MANUFACTURING,False,True,False
Fiesta Blinds & Fabrics Limited,75600,448550,372950.0,0.831456916731691,Creating Jobs / Capital Investment / Business Development,9,Northern Ireland,SME,Local,Local,FOYLE,MANUFACTURING,False,True,True
Finaghy Cleaning,52880,540200,487320.0,0.9021103295075897,Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,SME,Local,Local,LAGAN VALLEY,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,True,True,True
Finaghy Cleaning,2450,5000,2550.0,0.51,Developing Skills,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,False,False,False
Fine Point Films Ltd,16887,50323,33436.0,0.6644277964350297,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION,False,True,False
